Category,Leaf Image,Line Start X,Line Start Y,Line End X,Line End Y
,./leaves_Pic/extracted\iPAD2_C05_EX11.JPG,312,1024,451,-970
,./leaves_Pic/extracted\iPAD2_C08_EX01.JPG,327,1012,397,-986
,./leaves_Pic/extracted\iPAD2_C08_EX02.JPG,293,1022,432,-972
,./leaves_Pic/extracted\iPAD2_C08_EX06.JPG,327,1032,501,-959
,./leaves_Pic/extracted\iPAD2_C08_EX08.JPG,319,1005,354,-993
,./leaves_Pic/extracted\iPAD2_C08_EX09.JPG,272,1021,411,-973
,./leaves_Pic/extracted\iPAD2_C08_EX10.JPG,339,1019,443,-978
,./leaves_Pic/extracted\iPAD2_C10_EX02.JPG,344,1000,344,-1000
,./leaves_Pic/extracted\iPAD2_C10_EX05.JPG,261,-1015,365,982
,./leaves_Pic/extracted\iPAD2_C14_EX03.JPG,305,1005,340,-994
,./leaves_Pic/extracted\iPAD2_C14_EX04.JPG,301,1000,301,-1000
,./leaves_Pic/extracted\iPAD2_C14_EX10.JPG,331,1000,331,-1000
,./leaves_Pic/extracted\iPAD2_C14_EX11.JPG,291,1022,430,-972
,./leaves_Pic/extracted\iPAD2_C14_EX12.JPG,313,1000,313,-1000
,./leaves_Pic/extracted\iPAD2_C15_EX02.JPG,266,1078,682,-877
,./leaves_Pic/extracted\iPAD2_C15_EX03.JPG,-777,-636,636,777
,./leaves_Pic/extracted\iPAD2_C15_EX04.JPG,-697,-716,716,697
,./leaves_Pic/extracted\iPAD2_C15_EX06.JPG,359,-1006,394,993
,./leaves_Pic/extracted\iPAD2_C15_EX07.JPG,-738,-675,675,738
,./leaves_Pic/extracted\iPAD2_C15_EX08.JPG,-323,1090,1090,-323
,./leaves_Pic/extracted\iPAD2_C15_EX09.JPG,232,-1018,372,976
,./leaves_Pic/extracted\iPAD2_C15_EX10.JPG,505,1000,505,-1000
,./leaves_Pic/extracted\iPAD2_C17_EX01.JPG,230,1049,543,-926
,./leaves_Pic/extracted\iPAD2_C18_EX01.JPG,346,1012,416,-986
,./leaves_Pic/extracted\iPAD2_C19_EX01.JPG,298,-1011,368,987
,./leaves_Pic/extracted\iPAD2_C19_EX02.JPG,293,1000,293,-1000
,./leaves_Pic/extracted\iPAD2_C19_EX03.JPG,310,1000,310,-1000
,./leaves_Pic/extracted\iPAD2_C28_EX03.JPG,315,1000,315,-1000
,./leaves_Pic/extracted\iPAD2_C28_EX06.JPG,279,1034,488,-954
,./leaves_Pic/extracted\iPAD2_C31_EX05.JPG,195,1016,335,-979
,./leaves_Pic/extracted\iPAD2_C34_EX01.JPG,335,1018,439,-978
,./leaves_Pic/extracted\iPAD2_C35_EX01.JPG,230,1035,474,-949
,./leaves_Pic/extracted\iPAD2_C35_EX02.JPG,259,1014,363,-982
,./leaves_Pic/extracted\iPAD2_C35_EX03.JPG,262,1009,332,-988
,./leaves_Pic/extracted\iPAD2_C35_EX04.JPG,232,1018,372,-976
,./leaves_Pic/extracted\iPAD2_C35_EX05.JPG,343,-1006,378,993
,./leaves_Pic/extracted\iPAD2_C35_EX06.JPG,280,1022,419,-973
,./leaves_Pic/extracted\iPAD2_C35_EX10.JPG,299,1017,403,-980
,./leaves_Pic/extracted\iPAD2_C36_EX07.JPG,357,1000,357,-1000
,./leaves_Pic/extracted\iPAD2_C38_EX02.JPG,181,-1015,321,979
,./leaves_Pic/extracted\iPAD2_C39_EX05.JPG,285,1000,285,-1000
